Date,Close
7/27/18,56.92
7/30/18,58.93
7/31/18,58.75
8/1/18,59.62
8/2/18,59.27
8/3/18,59.16
8/6/18,59.39
8/7/18,58.98
8/8/18,60.17
8/9/18,59.53
8/10/18,59.31
8/13/18,59.42
8/14/18,59.96
8/15/18,60.26
8/16/18,61.11
8/17/18,60.89
8/20/18,60.32
8/21/18,60.08
8/22/18,60.57
8/23/18,60.09
8/24/18,59.97
8/27/18,60.01
8/28/18,60.17
8/29/18,61.12
8/30/18,60.69
8/31/18,60.55
9/4/18,60.48
9/5/18,61.2
9/6/18,60.94
9/7/18,61.31
9/10/18,60.86
9/11/18,60.49
9/12/18,60.33
9/13/18,60.79
9/14/18,60.69
9/17/18,61.3
9/18/18,61.48
9/19/18,60.8
9/20/18,61.75
9/21/18,62.25
9/24/18,61.59
9/25/18,61.82
9/26/18,61.62
9/27/18,61.95
9/28/18,62.08
10/1/18,62.1
10/2/18,62.8
10/3/18,62.65
10/4/18,62.36
10/5/18,62.41
10/8/18,62.9
10/9/18,63.23
10/10/18,60.77
10/11/18,57.5
10/12/18,57.51
10/15/18,57.61
10/16/18,57.83
10/17/18,58.9
10/18/18,55.98
10/19/18,54.3
10/22/18,50.88
10/23/18,50.65
10/24/18,48.83
10/25/18,49.21
10/26/18,50.43
10/29/18,49.73
10/30/18,50.02
10/31/18,50.54
11/1/18,52.13
11/2/18,50.69
11/5/18,52.03
11/6/18,51.35
11/7/18,52.99
11/8/18,52.81
11/9/18,53.39
11/12/18,52.85
11/13/18,52.59
11/14/18,52.59
11/15/18,53.27
11/16/18,54.07
11/19/18,53.48
11/20/18,53.52
11/21/18,53.2
11/23/18,52.93
11/26/18,52.73
11/27/18,51.15
11/28/18,52
11/29/18,51.82
11/30/18,53.46
12/3/18,53.28
12/4/18,52.03
12/6/18,53.25
12/7/18,53.08
12/10/18,52.58
12/11/18,52.43
12/12/18,53.44
12/13/18,53.64
12/14/18,52.12
12/17/18,50.92
12/18/18,51.56
12/19/18,50.39
12/20/18,50.06
12/21/18,49.82
12/24/18,48.76
12/26/18,50.03
12/27/18,50.41
12/28/18,50.94
12/31/18,51.98
1/2/19,52.43
1/3/19,45.12
1/4/19,46.89
1/7/19,48.41
1/8/19,47.99
1/9/19,47.18
1/10/19,47.72
1/11/19,47.99
1/14/19,47.97
1/15/19,49.72
1/16/19,49.13
1/17/19,49.6
1/18/19,50.12
1/22/19,49.72
1/23/19,49.96
1/24/19,49.02
1/25/19,48.93
1/28/19,48.32
1/29/19,48.32
1/30/19,48.86
1/31/19,49.37
